Product Name,Category,Price,City
Qyzyl Saia Карбонад из говядины сур ет уп 60 гр,Мясо,2 500 Т,Astana
Qyzyl Saia Шужук сур ет вес ±400 гр,Мясо,17 500 Т,Astana
Cinco Jotas Хамон Иберико нарезка слайсами 70 гр/уп,Мясо,19 800 Т,Astana
Qyzyl Saia Жамбас сур ет уп 60 гр,Мясо,2 500 Т,Astana
Qyzyl Saia Ассорти говядины сур ет уп 180 гр,Мясо,6 800 Т,Astana
Qyzyl Saia Казы сур ет вес ±300 гр,Мясо,18 500 Т,Astana
Qyzyl Saia Филе говядины сур ет уп 60 гр,Мясо,2 500 Т,Astana
Qyzyl Saia Жая сур ет вес ±500 гр,Мясо,19 800 Т,Astana
Прошутто-ди-Пармо на кости (Пармская ветчина) 30 мес вес 10 - 11 кг,Мясо,25 000 Т,Astana
Cinco Jotas Лопатка Иберико нарезка слайсами 70 гр/уп,Мясо,15 800 Т,Astana
Qyzyl Saia Казы в череве сур ет вес ±125 гр,Мясо,29 500 Т,Astana
Cinco Jotas Лопатка Иберико на кости 5-6 кг,Мясо,89 000 Т,Astana
Cinco Jotas Хамон Иберико на кости 6-7 кг,Мясо,110 000 Т,Astana
Артишок на гриле сердцевина Le Bonta 314 мл,Антипасти,4 500 Т,Astana
Le Bonta Перец черри с сыром 314 мл,Антипасти,4 500 Т,Astana
Артишок со стеблями All Romana по-римски 580 мл,Антипасти,6 000 Т,Astana
Оливки Микс Барисейн Le Bonta 314 мл,Антипасти,3 500 Т,Astana
"Оливки фиолетовые ""Saporite"" Le Bonta 314 мл",Антипасти,3 500 Т,Astana
Перец на Гриле в масле Le Bonta 314 мл,Антипасти,3 500 Т,Astana
Песто алла Дженовезе Le Bonta 212 мл,Антипасти,3 000 Т,Astana
Le Bonta Оливки зеленые сорта Bella di Cerignola 314 мл,Антипасти,3 500 Т,Astana
"Перец Черри с Тунцом и Каперсами, Le Bonta 314 мл",Антипасти,4 500 Т,Astana
"Джем инжирный Le Bonta, 314 мл",Антипасти,3 500 Т,Astana
Le Bonta Антипасто Рустико в масле 314 мл,Антипасти,3 500 Т,Astana
Грибной Микс Le Bonta 314 мл,Антипасти,3 500 Т,Astana
Помидоры вяленые alla Pugliese Le Bonta 314 мл,Антипасти,4 200 Т,Astana
Оливки зеленые сорта Bella di Cerignola Le Bonta 580 мл,Антипасти,4 500 Т,Astana
Каперсы на веточке Le Bonta 314 мл,Антипасти,3 500 Т,Astana
Маринованное Филе Анчоуса Medusa 200 гр,Антипасти,3 990 Т,Astana
Le Bonta Песто алла Дженовезе 580 мл,Антипасти,4 300 Т,Astana
Помидоры вяленые alla Pugliese Le Bonta  580 мл,Антипасти,4 800 Т,Astana
Le Bonta Оливки Зеленые сорта Bella di Cerignola 3100 гр 7/9,Антипасти,18 800 Т,Astana
Соус с Базиликом Le Bonta 314 мл,Антипасти,2 900 Т,Astana
Оливки черные и зеленые без косточек Gustose Le Bonta 314 мл,Антипасти,3 500 Т,Astana
Баклажаны на гриле Le Bonta 314 мл,Антипасти,2 800 Т,Astana
Le Bonta Соус Аллараббиата 314 мл,Антипасти,2 900 Т,Astana
Le Bonta Шампиньоны на гриле 314 мл,Антипасти,3 500 Т,Astana
Миндальная паста Alicos 190 гр,Антипасти,3 500 Т,Astana
Alicos Брускетта с помидорами и перцем 190 гр,Антипасти,3 600 Т,Astana
Джем из красного Сицилийского апельсина Alicos 110 гр,Антипасти,2 500 Т,Astana
Plaza Del Sol Оливки целые Гордал 350 гр,Антипасти,2 200 Т,Astana
Plaza Del Sol Оливки с лимоном 280 гр,Антипасти,1 700 Т,Astana
Plaza Del Sol Гаспачо 750 мл,Антипасти,2 490 Т,Astana
Филе сардин Medusa 1000 гр,Антипасти,17 500 Т,Astana
Каперсы в соли Le Bonta 212 мл,Антипасти,2 800 Т,Astana
Plaza Del Sol Оливки с лососем 280 гр,Антипасти,1 700 Т,Astana
Джем грушевый Le Bonta 314 мл,Антипасти,3 000 Т,Astana
Plaza Del Sol Оливки с анчоусами 280 гр,Антипасти,1 700 Т,Astana
Casa Marrazzo Целые очищенные помидоры Сан Марцано с базиликом 2560 гр,Антипасти,6 890 Т,Astana
"Перец Черри с сыром, Le Bonta, 1700 мл.",Антипасти,16 500 Т,Astana
Оливки зеленые сорта Bella di Cerignola Le Bonta  3100 гр Экстра,Антипасти,18 800 Т,Astana
Plaza Del Sol Оливки с апельсином 280 гр,Антипасти,1 700 Т,Astana
"Джем из Сицилийского Лимона, 110 гр",Антипасти,2 500 Т,Astana
Брускетта Микс с Вялеными Помидорами Alicos,Антипасти,3 600 Т,Astana
Plaza Del Sol Оливки с тунцом 280 гр,Антипасти,1 700 Т,Astana
